Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,Renminbi Yuan
2075100,Fresh or chilled whole geese,1018556,Kilogram,0,?,39527405.0
2075300,Fresh or chilled fatty goose livers,800,Kilogram,0,?,150400.0
2075400,Fresh or chilled cuts&offal of geese,34659,Kilogram,0,?,1248759.0
2081020,"Frozen meat of rabbits, excl. head",195740,Kilogram,0,?,5609487.0
2089010,"Fresh, chilled or frozen meat&edible offal of squabs",264922,Kilogram,0,?,15474540.0
2089090,"Fresh, chilled or frozen meat&edible offal, nes",25749,Kilogram,0,?,1428208.0
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",1314,Kilogram,0,?,334950.0
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",2856,Kilogram,0,?,205271.0
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",4395,Kilogram,0,?,271342.0
2102000,"Meat of bovine animals, salted,in brine,dried or smoked",330,Kilogram,0,?,37234.0
2109900,"Other meat/edible offal, nes, saltd/brn/drd/smkd; flours&meals",82264,Kilogram,0,?,1889727.0
3011100,Live ornamental freshwater fish,21285,Kilogram,0,?,2207568.0
3019190,"Live trout, excl. fry",1600,Kilogram,0,?,64000.0
3019210,Live eels fry,131,Kilogram,0,?,4889000.0
3019290,"Live eels, excl. fry",897440,Kilogram,0,?,113402175.0
3019390,"Live Carp, excl. fry",2033339,Kilogram,0,?,53450923.0
3019912,Live sturgeon fry,10000,Kilogram,0,?,288000.0
3019919,Other live fry,1,Kilogram,0,?,39200.0
3019991,Live tilapia,94576,Kilogram,0,?,1925555.0
3019992,live puffer fish(fugu spp.),23000,Kilogram,0,?,2433671.0
3019993,Other live carps,353008,Kilogram,0,?,8435030.0
3019999,"Live fish nes, excl. Fry",3076608,Kilogram,0,?,120481812.0
3021100,Fresh or chilled trout,8033,Kilogram,0,?,411985.0
3022300,Fresh or chilled sole,33884,Kilogram,0,?,1865440.0
3023900,"Fresh or chilled tunas, nes",2618,Kilogram,0,?,50693.0
3024400,Fresh or chilled mackerel,5600,Kilogram,0,?,155091.0
3024600,Fresh or chilled cobia,76272,Kilogram,0,?,3583215.0
3024910,Fresh or chilled siver pomfrets (Pampus spp.),5463,Kilogram,0,?,378386.0
3024990,"Fresh or chilled indian mackerels, seerfishes, jacks, crevalles,Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish",26106,Kilogram,0,?,551238.0
3025100,Fresh or chilled cod,182152,Kilogram,0,?,2849806.0
3027100,Fresh or chilled tilapias,3671,Kilogram,0,?,85661.0
3027300,Fresh or chilled carp,40480,Kilogram,0,?,1440959.0
3027400,Fresh or chilled eels,21218,Kilogram,0,?,1343330.0
3028200,Fresh or chilled rays and skates,42800,Kilogram,0,?,1288260.0
3028910,Fresh or chilled scabber fish,28052,Kilogram,0,?,1519983.0
3028920,Fresh or chilled yellow croaker,578191,Kilogram,0,?,30605054.0
3028930,Fresh or chilled butterfish(other than silver pomfrets),196638,Kilogram,0,?,8627740.0
3028990,"Fresh or chilled fish, nes",1438330,Kilogram,0,?,50022600.0
3029100,"Fresh or chilled livers, roes and milt",68788,Kilogram,0,?,2148756.0
3029900,Other fresh or chilled edible fish offal,16723,Kilogram,0,?,285272.0
3031200,Other frozen Pacific salmon,157737,Kilogram,0,?,5000342.0
3031400,Frozen trout,358691,Kilogram,0,?,23299559.0
3032300,Frozen tilapias,6799164,Kilogram,0,?,89051706.0
3032400,Frozen catfish,647524,Kilogram,0,?,6186950.0
3032500,Frozen carp,11372,Kilogram,0,?,471913.0
3032600,Frozen eels,50868,Kilogram,0,?,3872844.0
3033110,Frozen reinhardtius hippoglossoides(Greenland halibut),179448,Kilogram,0,?,8774892.0
3033300,Frozen sole,45580,Kilogram,0,?,1740086.0
3033900,Other frozen flat fish,651367,Kilogram,0,?,10029207.0
3034100,Frozen albacore or longfinned tunas,2234294,Kilogram,0,?,36864201.0
3034200,Frozen yellowfin tunas,1764651,Kilogram,0,?,34481362.0
3034300,Frozen Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis),210824,Kilogram,0,?,2416562.0
3034400,Frozen bigeye tunas,448803,Kilogram,0,?,13694143.0
3035100,Frozen herrings,14427056,Kilogram,0,?,69527295.0
3035300,"Frozen sadines, sardinella, brisling or sprats",6740740,Kilogram,0,?,38044067.0
3035400,Frozen mackerel,41666387,Kilogram,0,?,390577583.0
3035500,Frozen jack and horse mackerel,465296,Kilogram,0,?,3946261.0
3035700,Frozen swordfish,5754,Kilogram,0,?,120799.0
3035910,Frozen silver pomfrets (Pampus spp.),141200,Kilogram,0,?,10616595.0
3035990,"Frozen anchovies, Indian mackerels, seerfishes, jacks, crevalles,Pacific saury, scads, capelin,  Kawakawa, bonitos, marlins, sailfishes, spearfish",4851707,Kilogram,0,?,61406914.0
