商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
01029090,其他牛，改良种用除外,994191,千克,1627,头,34866955
01031000,改良种用猪,9500,千克,150,头,403956
01039120,其他猪，10kg≤重...,71880,千克,1512,头,2607182
01039200,其他猪，重量≥50k...,13877227,千克,126751,头,304142505
01042090,其他山羊，改良种用除...,23540,千克,770,头,1336258
01051110,改良种用鸡，改良种用...,140,千克,4000,只,80000
01051190,其他鸡，改良种用除外...,9839,千克,216660,只,488907
01059490,其他鸡，改良种用除外...,432730,千克,221360,只,8446771
01061190,其他灵长目动物，改良...,10166,千克,2508,只,29031302
01061490,"其他家兔及野兔,改良...",7089,千克,900,只,257400
01061990,"未列名哺乳动物,改良...",3544,千克,2534,只,2191630
01062019,其他改良种用爬行动物,1200,千克,10700,只,106240
01062020,食用爬行动物,38398,千克,29058,只,2984930
01062090,未列名爬行动物,1242,千克,74850,只,116652
01063921,食用乳鸽,51500,千克,83355,只,1659513
01063929,其他食用鸟,12370,千克,15920,只,125818
01064990,"其他昆虫,改良种用除...",2200,千克,792000,只,18929
01069011,改良种用蛙苗,6,千克,450,只,1507
01069090,"其他活动物,改良种用...",9026,千克,49500,只,42211
02023000,冻去骨牛肉,230452,千克,0,—,14463615
02031200,鲜、冷带骨猪前腿、猪...,255283,千克,0,—,8778864
02031900,其他鲜、冷猪肉,432339,千克,0,—,14500327
02032110,冻整头及半头乳猪肉,48274,千克,0,—,4289676
02032190,其他冻整头及半头猪肉,16562,千克,0,—,657832
02032200,冻带骨猪前腿、猪后腿...,40,千克,0,—,5194
02032900,其他冻猪肉,3392910,千克,0,—,120756393
02044100,冻整头及半头绵羊肉,18361,千克,0,—,525372
02044200,冻带骨绵羊肉,92221,千克,0,—,5279452
02044300,冻去骨绵羊肉,72505,千克,0,—,3137266
02045000,山羊肉,837706,千克,0,—,54974879
02062200,冻牛肝,24654,千克,0,—,115293
02062900,其他冻牛杂碎,7000,千克,0,—,94134
02071100,整只鸡，鲜或冷的,5283962,千克,0,—,110672441
02071200,整只鸡，冻的,212865,千克,0,—,4186365
02071311,鲜或冷的带骨鸡块,30948,千克,0,—,580331
02071329,鲜或冷的其他鸡杂碎,9364,千克,0,—,182760
02071411,带骨的冻鸡块,1553969,千克,0,—,19296101
02071419,其他冻鸡块,8976936,千克,0,—,117593066
02071421,冻鸡翼（不包括翼尖）,59862,千克,0,—,2303580
02071429,其他冻鸡杂碎,117060,千克,0,—,365393
02074100,鲜或冷的整只鸭,1776605,千克,0,—,25720383
02074200,整只冻鸭,225767,千克,0,—,3446475
02074400,鲜或冷的鸭块及杂碎,320,千克,0,—,6942
02074500,冻的鸭块及杂碎,563977,千克,0,—,6580320
02075100,鲜或冷的整只鹅,814217,千克,0,—,20832110
