商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
01029090,其他牛，改良种用除外,673300,千克,1056,头,29571975
01039120,其他猪，10kg≤重...,1484,千克,30,头,40046
01039200,其他猪，重量≥50k...,10860236,千克,94750,头,229867985
01051190,其他鸡，改良种用除外...,10989,千克,223600,只,854717
01061490,"其他家兔及野兔,改良...",2453,千克,881,只,584120
01061910,其他改良种用哺乳动物,440,千克,44,只,314446
01061990,"未列名哺乳动物,改良...",3250,千克,8218,只,10151265
01062020,食用爬行动物,50523,千克,37438,只,3598953
01062090,未列名爬行动物,3434,千克,409555,只,2057183
01064910,改良种用昆虫,15,千克,17900,只,2571
01064990,"其他昆虫,改良种用除...",2494,千克,4008100,只,213551
01069090,"其他活动物,改良种用...",66025,千克,236150,只,691272
02023000,冻去骨牛肉,6139,千克,0,—,391985
02031200,鲜或冷的带骨猪前腿、...,542721,千克,0,—,15836756
02031900,其他鲜或冷的猪肉,89540,千克,0,—,2430185
02032190,其他冻整头及半头猪肉,47900,千克,0,—,1249635
02032900,其他冻猪肉,1468578,千克,0,—,42614694
02044100,冻整头及半头绵羊肉,209,千克,0,—,12814
02044200,冻带骨绵羊肉,60275,千克,0,—,5200472
02044300,冻去骨绵羊肉,60977,千克,0,—,4313950
02050000,鲜、冷、冻的马、驴、...,22521,千克,0,—,2863840
02062900,其他冻牛杂碎,7490,千克,0,—,67557
02064100,冻猪肝,15000,千克,0,—,134873
02069000,其他冻杂碎（牛、猪杂...,73887,千克,0,—,1603436
02071100,整只鸡，鲜或冷的,5663703,千克,0,—,146187353
02071200,整只鸡，冻的,272561,千克,0,—,5412453
02071311,鲜或冷的带骨鸡块,165683,千克,0,—,4599232
02071319,鲜或冷的其他鸡块,389,千克,0,—,10568
02071329,鲜或冷的其他鸡杂碎,12546,千克,0,—,332319
02071411,带骨的冻鸡块,1745682,千克,0,—,21749107
02071419,其他冻鸡块,11866338,千克,0,—,162697654
02071421,冻鸡翼（不包括翼尖）,256422,千克,0,—,5152573
02071429,其他冻鸡杂碎,694596,千克,0,—,4301029
02074100,鲜或冷的整只鸭,1440349,千克,0,—,27707023
02074200,整只冻鸭,1035431,千克,0,—,12209068
02074300,鲜或冷的鸭肥肝,48000,千克,0,—,157440
02074400,鲜或冷的鸭块及杂碎,21686,千克,0,—,365727
02074500,冻的鸭块及杂碎,671341,千克,0,—,7341573
02075100,鲜或冷的整只鹅,1366711,千克,0,—,55888097
02075300,鲜或冷的鹅肥肝,180,千克,0,—,108000
02075400,鲜或冷的鹅块及杂碎,40634,千克,0,—,1584596
02075500,冻的鹅块及杂碎,13,千克,0,—,2600
02081020,冻兔肉，不包括兔头,367800,千克,0,—,13546581
02089010,鲜、冷、冻的乳鸽肉及...,346662,千克,0,—,19745503
02089090,其他鲜、冷、冻的肉及...,16058,千克,0,—,1102902
02091000,未炼制或用其他方法提...,21000,千克,0,—,214500
02101200,干、熏、盐腌或盐渍猪...,2160,千克,0,—,162245
02101900,其他干、熏、盐腌或盐...,8253,千克,0,—,481962
02102000,干、熏、盐腌或盐渍牛...,400,千克,0,—,33666
02109900,其他干、熏、盐腌或盐...,24450,千克,0,—,623976
03011100,淡水观赏鱼,31856,千克,0,—,1981302
03019290,其他活鳗鱼，鱼苗除外,1921811,千克,0,—,252651152
03019390,"其他活鲤科鱼, 鱼苗...",1976486,千克,0,—,49548686
03019919,其他鱼苗,236135,千克,0,—,21504868
03019991,活罗非鱼,119268,千克,0,—,2591068
03019992,活鲀,15800,千克,0,—,2081122
03019993,其他活鲤科鱼,549646,千克,0,—,14647285
03019999,其他活鱼,3996423,千克,0,—,198012941
03022300,鲜或冷的鳎鱼,78952,千克,0,—,5102117
03022900,其他鲜或冷的比目鱼,16044,千克,0,—,1796928
03023900,其他鲜或冷的金枪鱼,840,千克,0,—,19268
03024600,鲜或冷的军曹鱼,151535,千克,0,—,7243776
03024910,鲜、冷银鲳(鲳属),9611,千克,0,—,503611
03024990,鲜、冷印度鲭(羽鳃鲐...,11902,千克,0,—,305750
03027100,鲜或冷的罗非鱼,4533,千克,0,—,106740
03027300,鲜或冷的鲤科鱼,44823,千克,0,—,1529357
03027400,鲜或冷的鳗鱼,8029,千克,0,—,548805
03027900,鲜或冷的尼罗河鲈鱼及...,33,千克,0,—,816
03028910,鲜或冷的带鱼,39855,千克,0,—,2146763
03028920,鲜或冷的黄鱼,695614,千克,0,—,44500263
03028930,鲜或冷的鲳鱼(银鲳除...,190850,千克,0,—,9456587
03028990,其他鲜或冷的鱼,1535169,千克,0,—,63097973
03029900,其他鲜或冷的可食用鱼...,3421,千克,0,—,39822
03031200,其他冻大麻哈鱼,25036,千克,0,—,626662
03031310,冻大西洋鲑鱼,15814,千克,0,—,1132759
03032300,冻罗非鱼,10101618,千克,0,—,127059346
03032400,冻鲶鱼,360322,千克,0,—,7513844
03032500,冻鲤科鱼,12749,千克,0,—,460440
03032600,冻鳗鱼,125645,千克,0,—,9190544
03032900,冻尼罗河鲈鱼及黑鱼,17,千克,0,—,89
03033110,冻马舌鲽(格陵兰庸鲽...,369090,千克,0,—,18574930
03033300,冻鳎鱼,10920,千克,0,—,454218
03033900,其他冻比目鱼,1752528,千克,0,—,31676416
03034100,冻长鳍金枪鱼,830620,千克,0,—,19041231
03034200,冻黄鳍金枪鱼,540860,千克,0,—,11527688
03034300,冻鲣,474968,千克,0,—,8783287
03034400,冻大眼金枪鱼,124920,千克,0,—,4887555
03034900,其他冻金枪鱼,14000,千克,0,—,83000
03035100,冻鲱鱼,13232634,千克,0,—,66829245
03035300,冻的沙丁鱼、小沙丁鱼...,1405176,千克,0,—,11539738
03035400,冻鲭鱼,18028379,千克,0,—,237408785
03035500,冻的对称竹荚鱼、新西...,1107734,千克,0,—,12699697
03035700,冻剑鱼,260181,千克,0,—,11838692
03035910,冻银鲳(鲳属),197741,千克,0,—,19559379
03035990,冻鳀鱼(鳀属）、冻印...,3420751,千克,0,—,69520598
03036300,冻鳕鱼,458,千克,0,—,14141
03036700,冻阿拉斯加狭鳕鱼,422854,千克,0,—,2892754
03036900,其他冻的犀鳕科、多丝...,75435,千克,0,—,1906243
03038200,冻魟鱼及鳐鱼,21495,千克,0,—,552820
03038400,冻尖吻鲈鱼,58300,千克,0,—,2243736
03038910,冻带鱼,113511,千克,0,—,6286600
03038920,冻黄鱼,1357175,千克,0,—,75112611
03038930,冻鲳鱼(银鲳除外),853899,千克,0,—,28044200
03038990,未列名冻鱼,9196289,千克,0,—,268753677
03039100,冻的鱼肝、鱼卵及鱼精,17706,千克,0,—,8004218
03039900,其他冻的可食用鱼杂碎,831664,千克,0,—,9246018
03043900,鲜或冷的鲤科鱼、鳗鱼...,29893,千克,0,—,1203719
03044900,其他鲜或冷的鱼片,17464,千克,0,—,1429619
03045100,鲜或冷的罗非鱼、鲶鱼...,364563,千克,0,—,12793975
03045900,其他鲜或冷的鱼肉,7470,千克,0,—,164324
