商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
01012900,其他马，改良种用除外,1200,千克,3,头,173625
01029090,其他牛，改良种用除外,998682,千克,1662,头,35290774
01031000,改良种用猪,6400,千克,100,头,247082
01039120,其他猪，10kg≤重...,57620,千克,1237,头,1857065
01039200,其他猪，重量≥50k...,14499211,千克,135075,头,258026541
01042090,其他山羊，改良种用除...,9500,千克,330,头,568040
01051190,其他鸡，改良种用除外...,7799,千克,173000,只,414636
01061190,其他灵长目动物，改良...,3305,千克,676,只,9579046
01061490,"其他家兔及野兔,改良...",3166,千克,1078,只,297922
01061910,其他改良种用哺乳动物,255,千克,2,只,1335580
01061990,"未列名哺乳动物,改良...",3011,千克,1986,只,1384163
01062019,其他改良种用爬行动物,1504,千克,12040,只,129204
01062020,食用爬行动物,49774,千克,33102,只,3717042
01062090,未列名爬行动物,1798,千克,163429,只,1160537
01064990,"其他昆虫,改良种用除...",3080,千克,1008000,只,26618
01069090,"其他活动物,改良种用...",5861,千克,3170800,只,87391
02023000,冻去骨牛肉,64214,千克,0,—,2492678
02031200,鲜或冷的带骨猪前腿、...,181163,千克,0,—,5366074
02031900,其他鲜或冷的猪肉,288972,千克,0,—,8264613
02032110,冻整头及半头乳猪肉,24092,千克,0,—,2127913
02032900,其他冻猪肉,3097270,千克,0,—,99775098
02042200,鲜或冷的带骨绵羊肉,522,千克,0,—,40061
02044200,冻带骨绵羊肉,67446,千克,0,—,4032106
02044300,冻去骨绵羊肉,75758,千克,0,—,3964369
02045000,山羊肉,49932,千克,0,—,2333255
02062900,其他冻牛杂碎,5000,千克,0,—,21340
02071100,整只鸡，鲜或冷的,5277300,千克,0,—,109287012
02071200,整只鸡，冻的,278437,千克,0,—,5197824
02071311,鲜或冷的带骨鸡块,37518,千克,0,—,765876
02071329,鲜或冷的其他鸡杂碎,9573,千克,0,—,196960
02071411,带骨的冻鸡块,1640308,千克,0,—,19234860
02071419,其他冻鸡块,7021449,千克,0,—,93576503
