商品编码,商品名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
01012100,改良种用马,5600,千克,12,头,160921
01012900,其他马，改良种用除外,37800,千克,92,头,1319505
01013090,其他驴，改良种用除外,452320,千克,4000,头,360000
01022100,改良种用家牛,477720,千克,1601,头,2939977
01022900,其他家牛，改良种用除...,1886260,千克,4509,头,7720383
01042010,改良种用山羊,44335,千克,1280,头,1941770
01051110,改良种用鸡，改良种用...,6733,千克,151469,只,3249980
01061110,改良种用灵长目动物,350,千克,135,只,326978
01061190,其他灵长目动物，改良...,333,千克,152,只,61384
01061211,改良种用鲸、海豚及鼠...,3040,千克,15,只,818216
01061219,其他鲸、海豚及鼠海豚...,580,千克,2,只,149962
01061221,改良种用海豹、海狮及...,680,千克,5,只,543917
01061229,其他海豹、海狮及海象...,650,千克,18,只,166097
01061410,改良种用家兔及野兔,829,千克,309,只,136219
01061910,其他改良种用哺乳动物,8985,千克,210,只,912004
01061990,"未列名哺乳动物,改良...",4648,千克,3708,只,867193
01062019,其他改良种用爬行动物,2580,千克,244010,只,138986
01062020,食用爬行动物,62290,千克,17009,只,198563
01062090,未列名爬行动物,41247,千克,550099,只,220306
01063910,其他改良种用鸟,77,千克,30,只,36658
01063990,未列名鸟,825,千克,1663,只,447278
01064190,"其他蜂,改良种用除外",1120,千克,80000,只,20745
01064910,改良种用昆虫,1,千克,1580,只,173
01064990,"其他昆虫,改良种用除...",22,千克,3936,只,4882
01069090,"其他活动物,改良种用...",1288,千克,6255,只,25973
02012000,鲜或冷的带骨牛肉,27254,千克,0,—,352969
02013000,鲜或冷的去骨牛肉,1292971,千克,0,—,10854166
02022000,冻带骨牛肉,16819253,千克,0,—,43770285
02023000,冻去骨牛肉,69593051,千克,0,—,347255210
02031200,鲜或冷的带骨猪前腿、...,1433,千克,0,—,4932
02031900,其他鲜或冷的猪肉,1843,千克,0,—,8899
02032200,冻带骨猪前腿、猪后腿...,33990642,千克,0,—,56602896
02032900,其他冻猪肉,81328171,千克,0,—,152949999
02041000,鲜或冷的整头及半头羔...,18,千克,0,—,152
02042100,鲜或冷的整头及半头绵...,35253,千克,0,—,158638
02042200,鲜或冷的带骨绵羊肉,41918,千克,0,—,302040
02042300,鲜或冷的去骨绵羊肉,3620,千克,0,—,43735
02043000,冻整头及半头羔羊肉,38255,千克,0,—,176117
02044100,冻整头及半头绵羊肉,1058288,千克,0,—,4515482
02044200,冻带骨绵羊肉,24576052,千克,0,—,98226246
02044300,冻去骨绵羊肉,1783254,千克,0,—,5506569
02050000,鲜、冷、冻的马、驴、...,848070,千克,0,—,1696140
02062100,冻牛舌,106631,千克,0,—,498737
02062900,其他冻牛杂碎,2322885,千克,0,—,8765936
02064100,冻猪肝,24006,千克,0,—,9631
02064900,其他冻猪杂碎,82040723,千克,0,—,132444876
02069000,其他冻杂碎（牛、猪杂...,568027,千克,0,—,1949858
02071200,整只鸡，冻的,87514,千克,0,—,107071
02071411,带骨的冻鸡块,7507789,千克,0,—,8847325
02071419,其他冻鸡块,2030910,千克,0,—,3395287
02071421,冻鸡翼（不包括翼尖）,21999603,千克,0,—,63623960
02071422,冻鸡爪,14383054,千克,0,—,33239137
02071429,其他冻鸡杂碎,4258378,千克,0,—,5257667
02072700,火鸡块及杂碎，冻的,110590,千克,0,—,271377
02089090,其他鲜、冷、冻的肉及...,49654,千克,0,—,208466
02091000,未炼制或用其他方法提...,547517,千克,0,—,423416
02101900,其他干、熏、盐腌或盐...,23925,千克,0,—,573398
02102000,干、熏、盐腌或盐渍牛...,1650,千克,0,—,8250
03011100,淡水观赏鱼,31883,千克,0,—,2277682
03011900,其他观赏鱼,9511,千克,0,—,322970
03019210,鳗鱼苗,4246,千克,0,—,738327
03019290,其他活鳗鱼，鱼苗除外,14933,千克,0,—,138517
03019911,鲈鱼苗,681,千克,0,—,25257
03019919,其他鱼苗,2508,千克,0,—,17676
03019999,其他活鱼,1759547,千克,0,—,8884799
03021100,鲜或冷的鳟鱼,59902,千克,0,—,664122
03021300,鲜或冷的大麻哈鱼,20929,千克,0,—,340017
03021410,鲜或冷的大西洋鲑鱼,5893493,千克,0,—,69337883
03022900,其他鲜或冷的比目鱼,106970,千克,0,—,275001
03023100,鲜或冷的长鳍金枪鱼,19,千克,0,—,203
03023200,鲜或冷的黄鳍金枪鱼,12827,千克,0,—,120800
03023300,鲜或冷的鲣鱼或狐鲣,320,千克,0,—,10595
03023510,鲜或冷的大西洋蓝鳍金...,1968,千克,0,—,55776
03023520,鲜或冷的太平洋蓝鳍金...,31016,千克,0,—,1095392
03023600,鲜或冷的南方蓝鳍金枪...,9587,千克,0,—,150764
03024100,鲜或冷的鲱鱼,17000,千克,0,—,11600
03024300,鲜或冷的沙丁鱼、小沙...,115,千克,0,—,1422
03024400,鲜或冷的鲭鱼,25909,千克,0,—,39490
03024500,鲜或冷的对称竹荚鱼、...,10785,千克,0,—,131447
03024900,鲜或冷的印度鲭、马鲛...,55624,千克,0,—,707800
03025100,鲜或冷的鳕鱼,723,千克,0,—,6863
03027200,鲜或冷的鲶鱼,71550,千克,0,—,46990
03027400,鲜或冷的鳗鱼,63,千克,0,—,1198
03028100,鲜或冷的角鲨及其他鲨...,29970,千克,0,—,30040
03028400,鲜或冷的尖吻鲈鱼,76,千克,0,—,1081
03028910,鲜或冷的带鱼,610918,千克,0,—,1010228
03028920,鲜或冷的黄鱼,4991,千克,0,—,33502
03028930,鲜或冷的鲳鱼,37470,千克,0,—,403051
03028990,其他鲜或冷的鱼,738609,千克,0,—,2694828
03031100,冻红大麻哈鱼,168133,千克,0,—,1055054
03031200,其他冻大麻哈鱼,2393195,千克,0,—,8867693
03031300,冻大西洋鲑鱼及多瑙哲...,1531681,千克,0,—,9394541
03031400,冻鳟鱼,155098,千克,0,—,1157569
03032300,冻罗非鱼,34,千克,0,—,68
03032400,冻鲶鱼,2856448,千克,0,—,5889158
03032500,冻鲤科鱼,107301,千克,0,—,160946
03032600,冻鳗鱼,245512,千克,0,—,292385
03033110,冻格陵兰庸鲽鱼,2147867,千克,0,—,13889574
03033190,其他冻庸鲽鱼,174427,千克,0,—,1032939
03033200,冻鲽鱼,57010,千克,0,—,64593
03033300,冻鳎鱼,237959,千克,0,—,292068
03033900,其他冻比目鱼,16151667,千克,0,—,29646423
03034100,冻长鳍金枪鱼,555085,千克,0,—,1802492
03034200,冻黄鳍金枪鱼,550042,千克,0,—,1405256
03034300,冻鲣鱼或狐鲣,8667945,千克,0,—,14119878
03034400,冻大眼金枪鱼,29122,千克,0,—,203203
03034510,冻大西洋蓝鳍金枪鱼,2075,千克,0,—,32344
03035100,冻鲱鱼,28961757,千克,0,—,14509407
03035300,冻的沙丁鱼、小沙丁鱼...,4765779,千克,0,—,3013688
03035400,冻鲭鱼,4059589,千克,0,—,6087253
03035500,冻的对称竹荚鱼、新西...,1830154,千克,0,—,2789469
03035900,冻的鳀鱼、印度鲭、马...,8916827,千克,0,—,11055668
03036300,冻鳕鱼,19985028,千克,0,—,77980280
03036400,冻黑线鳕鱼,5944717,千克,0,—,19250635
03036500,冻绿青鳕鱼,2376642,千克,0,—,4769137
03036600,冻狗鳕鱼,73833,千克,0,—,145196
03036700,冻狭鳕鱼,64287575,千克,0,—,70461440
03036800,冻蓝鳕鱼,828966,千克,0,—,1722505
03036900,其他冻的犀鳕科、多丝...,500823,千克,0,—,1130013
03038100,冻角鲨及其他鲨鱼,319128,千克,0,—,405314
03038200,冻魟鱼及鳐鱼,136286,千克,0,—,147737
03038300,冻南极犬牙鱼,211439,千克,0,—,6748468
03038910,冻带鱼,5510626,千克,0,—,9418578
03038930,冻鲳鱼,469082,千克,0,—,889583
03038990,未列名冻鱼,19724240,千克,0,—,39049751
03039100,冻的鱼肝、鱼卵及鱼精,977802,千克,0,—,5879776
03039200,冻鲨鱼翅,112641,千克,0,—,747337
03039900,其他冻的可食用鱼杂碎,2657339,千克,0,—,6025457
03044100,鲜或冷的大麻哈鱼、大...,1236,千克,0,—,22782
03044900,其他鲜或冷的鱼片,1596,千克,0,—,38620
03045900,其他鲜或冷的鱼肉,1536,千克,0,—,49131
03046100,冻罗非鱼鱼片,7954,千克,0,—,70382
03046219,其他冻叉尾鮰鱼鱼片,19550,千克,0,—,25636
03046290,其他冻鲶鱼鱼片,10751042,千克,0,—,29622510
03046300,冻尼罗河鲈鱼鱼片,24000,千克,0,—,134803
03047100,冻鳕鱼鱼片,55339,千克,0,—,422928
03047200,冻黑线鳕鱼鱼片,15492,千克,0,—,33972
03047300,冻绿青鳕鱼鱼片,29162,千克,0,—,35296
03047500,冻狭鳕鱼鱼片,1298542,千克,0,—,2610723
03047900,其他冻的犀鳕科、多丝...,5710,千克,0,—,38835
03048100,冻的大麻哈鱼、大西洋...,44309,千克,0,—,617864
03048300,冻比目鱼鱼片,10799,千克,0,—,73460
03048600,冻鲱鱼鱼片,7215,千克,0,—,18092
03048700,冻的金枪鱼、鲣鱼或狐...,179457,千克,0,—,456109
03048900,其他冻鱼片,142403,千克,0,—,517561
03049400,冻狭鳕鱼鱼肉,580320,千克,0,—,1948354
03049500,冻的犀鳕科、多丝真鳕...,938485,千克,0,—,1531578
03049900,其他冻鱼肉,3181835,千克,0,—,9138457
03051000,适合供人食用的鱼的细...,400,千克,0,—,5295
03052000,干、熏、盐腌或盐渍的...,307488,千克,0,—,2643148
03054110,熏大西洋鲑鱼,15434,千克,0,—,224022
03054300,熏鳟鱼,11028,千克,0,—,247027
03054900,其他熏鱼,24289,千克,0,—,85655
03055100,干鳕鱼,8,千克,0,—,1284
03055400,干的鲱鱼、鳀鱼、沙丁...,369760,千克,0,—,745636
03055990,其他干鱼,1752518,千克,0,—,4458549
03057100,鲨鱼翅,56076,千克,0,—,618954
03057200,鱼头、鱼尾、鱼鳔,26419,千克,0,—,150362
03057900,其他鱼鳍及其他可食用...,225360,千克,0,—,296600
03061100,冻的岩礁虾和其他龙虾,100520,千克,0,—,1684643
03061200,冻鳌龙虾,80253,千克,0,—,1164984
03061410,冻梭子蟹,32420,千克,0,—,51365
03061490,其他冻蟹,620603,千克,0,—,5867545
03061500,冻挪威海鳌虾,41485,千克,0,—,537703
03061611,冻冷水小虾仁,21000,千克,0,—,93880
03061612,其他冻北方长额小虾,3935670,千克,0,—,22257729
03061619,其他冻冷水小虾,147110,千克,0,—,1016887
03061621,冻冷水对虾仁,24000,千克,0,—,137661
03061629,其他冻冷水对虾,3209,千克,0,—,68771
03061711,其他冻小虾仁,752776,千克,0,—,4086223
03061719,其他冻小虾,2487770,千克,0,—,19679232
03061721,其他冻对虾仁,725383,千克,0,—,5338743
03061729,其他冻对虾,8173552,千克,0,—,60810070
03061990,其他冻甲壳动物，包括...,66908,千克,0,—,2465555
03063110,岩礁虾和其他龙虾种苗,701,千克,0,—,28107
03063190,活、鲜或冷的岩礁虾和...,1165621,千克,0,—,78881519
03063210,鳌龙虾种苗,30,千克,0,—,602
03063290,活、鲜或冷的鳌龙虾，...,1757016,千克,0,—,34901340
03063310,蟹种苗,27,千克,0,—,189
03063392,活、鲜或冷的梭子蟹，...,148533,千克,0,—,1053702
03063399,其他活、鲜或冷的蟹，...,5185456,千克,0,—,80802880
03063590,活的冷水对虾及活、鲜...,2931,千克,0,—,130484
03063610,其他小虾种苗及对虾种...,2596,千克,0,—,1168695
03063620,其他鲜、冷的对虾,99,千克,0,—,477
03063690,其他活的对虾及活、鲜...,1111252,千克,0,—,13116522
03063990,未列名活、鲜或冷的甲...,148382,千克,0,—,3229737
03071190,活、鲜或冷的牡蛎，种...,299956,千克,0,—,3235692
03071200,冻牡蛎,198548,千克,0,—,1140080
03072190,活、鲜或冷的扇贝，种...,878543,千克,0,—,4020935
03072200,冻扇贝,11308693,千克,0,—,35444470
03072900,干、盐腌、盐渍或熏制...,79631,千克,0,—,630716
03073190,活、鲜或冷的贻贝，种...,57747,千克,0,—,338244
03073200,冻贻贝,972841,千克,0,—,4826244
03074291,活、鲜或冷的墨鱼（乌...,960,千克,0,—,2196
03074299,其他活、鲜或冷的墨鱼...,10841,千克,0,—,48470
03074310,冻的墨鱼（乌贼属、巨...,13081602,千克,0,—,33647087
03074390,其他冻的墨鱼及鱿鱼,7684240,千克,0,—,19335748
03074910,干、盐腌、盐渍或熏制...,1600,千克,0,—,11113
03075100,活、鲜或冷的章鱼,417,千克,0,—,2949
03075200,冻章鱼,754512,千克,0,—,2750254
03076010,蜗牛及螺种苗，海螺除...,28125,千克,0,—,36909
03076090,活、鲜、冷、冻、干、...,215487,千克,0,—,374179
03077110,蛤、鸟蛤及舟贝的种苗,7,千克,0,—,32
03077191,活、鲜或冷的蛤，种苗...,216290,千克,0,—,455209
03077199,活、鲜或冷的鸟蛤及舟...,1475638,千克,0,—,1997610
03077200,冻的蛤、鸟蛤及舟贝,218269,千克,0,—,2370859
03078190,活、鲜或冷的鲍鱼，种...,102782,千克,0,—,4397831
03078290,活、鲜或冷的凤螺，种...,75786,千克,0,—,338766
03078300,冻鲍鱼,5131,千克,0,—,313683
03078400,冻凤螺,25312,千克,0,—,30146
03078700,干、盐腌、盐渍或熏制...,175,千克,0,—,66272
03079190,未列名活、鲜、冷的软...,481738,千克,0,—,12015868
03079200,未列名冻的软体动物,834739,千克,0,—,3490743
03079900,未列名干、盐腌、盐渍...,10998,千克,0,—,13237
03081200,冻海参,264946,千克,0,—,792007
03081900,干、盐腌、盐渍或熏制...,15944,千克,0,—,450338
03082190,活、鲜或冷的海胆，种...,819,千克,0,—,88930
03089019,未列名活、鲜或冷的不...,3551,千克,0,—,29794
04011000,未浓缩及未加糖或其他...,6892667,千克,0,—,5531169
04012000,未浓缩及未加糖或其他...,39221557,千克,0,—,34781582
04014000,未浓缩及未加糖或其他...,22109,千克,0,—,35085
04015000,未浓缩及未加糖或其他...,9373038,千克,0,—,32091772
04021000,粉状、粒状或其他固状...,19766085,千克,0,—,44171481
04022100,粉状、粒状或其他固状...,37769878,千克,0,—,131958453
04022900,粉状、粒状或其他固状...,1451535,千克,0,—,12200424
04029100,非固状乳及奶油，未加...,781542,千克,0,—,1734728
04029900,非固状乳及奶油，加糖...,990542,千克,0,—,1407411
04031000,酸乳,1942417,千克,0,—,3968488
04039000,其他酪乳、结块的乳及...,377058,千克,0,—,813246
04041000,乳清及改性乳清，不论...,56182846,千克,0,—,57210247
04049000,未列名含天然乳产品，...,200152,千克,0,—,1088179
04051000,黄油,11715365,千克,0,—,67728680
04052000,乳酱,404,千克,0,—,2651
04059000,其他从乳中提取的脂和...,1907328,千克,0,—,12873084
04061000,鲜乳酪包括乳清乳酪；...,5384375,千克,0,—,22283940
04062000,各种磨碎或粉化的乳酪,3089465,千克,0,—,14876055
04063000,经过加工的乳酪（但磨...,1395594,千克,0,—,7755466
04064000,蓝纹乳酪和娄地青霉生...,3483,千克,0,—,30912
04069000,未列名的乳酪,1904918,千克,0,—,9105542
04090000,天然蜂蜜,250600,千克,0,—,4675240
04100010,燕窝,17423,千克,0,—,20348805
04100041,鲜蜂王浆,12,千克,0,—,332
04100043,蜂花粉,65,千克,0,—,9218
04100049,其他蜂产品,43123,千克,0,—,1169000
04100090,未列名食用动物产品,88138,千克,0,—,355056
05040011,盐渍猪肠衣（猪大肠头...,9328502,千克,0,—,19267546
05040012,盐渍绵羊肠衣,2346488,千克,0,—,4156438
05040013,盐渍山羊肠衣,18023,千克,0,—,18770
05040029,其他动物的胃,3485034,千克,0,—,14309918
05051000,填充用羽毛；羽绒,1746916,千克,0,—,23519133
05059090,其他羽毛；带有羽毛或...,210120,千克,0,—,1318822
05069090,其他未经加工或经脱脂...,2358505,千克,0,—,1006008
05071000,兽牙；兽牙粉末及废料,4170,千克,0,—,356566
05079020,鹿茸及其粉末,98067,千克,0,—,5777553
05079090,龟壳、鲸须、其他兽角...,310887,千克,0,—,387847
05080010,软体、甲壳或棘皮动物...,166935,千克,0,—,105291
05080090,珊瑚及类似品；软体、...,3360782,千克,0,—,1201423
05100090,未列名配药用腺体及其...,44658,千克,0,—,201465
05111000,牛的精液,716,千克,0,—,2056793
05119111,受精鱼卵,297,千克,0,—,81769
05119119,其他鱼产品,161280,千克,0,—,137231
05119190,未列名甲壳动物、软体...,254745,千克,0,—,242436
05119910,动物精液（牛的精液除...,6,千克,0,—,34736
05119920,动物胚胎,0,千克,0,—,330
05119940,马毛及废马毛，不论是...,230565,千克,0,—,234321
05119990,其他品目未列名动物产...,463431,千克,0,—,685689
06011021,种用百合球茎,25197410,个,1889273,千克,5186658
06011091,种用休眠的鳞茎、块茎...,1011210,个,33736,千克,243271
06011099,未列名休眠的鳞茎、块...,55350,个,4502,千克,27287
06021000,无根插枝及接穗植物,7180344,株,199443,千克,606560
06022010,食用水果或坚果种用苗...,30519,株,1511,千克,63132
06022090,食用水果或坚果树、灌...,91,株,4,千克,236
06023010,种用杜鹃,5770,株,17429,千克,68743
06023090,其他杜鹃，不论是否嫁...,1179,株,68792,千克,172887
06024090,其他玫瑰，不论是否嫁...,386,株,114,千克,469
06029010,蘑菇菌丝,131916,千克,0,—,352507
06029091,其他种用苗木,2190668,株,734736,千克,4024266
06029092,兰花，种用除外,41550,株,9160,千克,16324
06029099,未列名活植物,76804,株,6303530,千克,8260570
06031100,鲜的制花束或装饰用的...,74726,千克,1208568,枝,729117
06031200,鲜的制花束或装饰用的...,5386,千克,129568,枝,60926
06031300,鲜的制花束或装饰用的...,546191,千克,29857761,枝,1265987
06031400,鲜的制花束或装饰用的...,113561,千克,1571850,枝,387525
06031500,鲜的制花束或装饰用的...,467,千克,5050,枝,7311
06031900,其他鲜的制花束或装饰...,328988,千克,7067527,枝,3294322
06039000,制花束或装饰用的插花...,6838,千克,221831,枝,252025
06042010,鲜的苔藓及地衣,706,千克,0,—,5210
06042090,鲜的制花束或装饰用的...,37932,千克,0,—,403914
06049010,其他苔藓及地衣,65964,千克,0,—,42327
06049090,未列名制花束或装饰用...,14459,千克,0,—,45432
07031010,鲜或冷藏的洋葱,880105,千克,0,—,227362
07032010,鲜或冷藏的蒜头,23,千克,0,—,207
07039020,鲜或冷藏的大葱,10,千克,0,—,90
07041000,鲜或冷藏的菜花及硬花...,326,千克,0,—,1063
07049010,鲜或冷藏的卷心菜,5680,千克,0,—,1709
07051900,其他鲜或冷藏的莴苣,347,千克,0,—,1178
07061000,鲜或冷藏的胡萝卜及萝...,20014,千克,0,—,51429
07070000,鲜或冷藏的黄瓜及小黄...,370,千克,0,—,3998
07092000,鲜或冷藏的芦笋,27,千克,0,—,538
07095990,其他鲜或冷藏的蘑菇,15,千克,0,—,99
07096000,鲜或冷藏的辣椒，包括...,18742558,千克,0,—,14212633
07099300,鲜或冷藏的南瓜、笋瓜...,684150,千克,0,—,582467
07099990,未列名鲜或冷藏的蔬菜,0,千克,0,—,119
07102100,冷冻豌豆,1492344,千克,0,—,1482765
07102290,冷冻豇豆及其他菜豆,129144,千克,0,—,126284
07102900,其他冷冻豆类蔬菜,23668,千克,0,—,27612
07103000,冷冻菠菜,2800,千克,0,—,1505
07104000,冷冻甜玉米,1154535,千克,0,—,1586510
07108090,冷冻未列名蔬菜,310067,千克,0,—,267547
07109000,冷冻什锦蔬菜,490,千克,0,—,1403
07112000,暂时保藏的油橄榄,35109,千克,0,—,51211
07114000,暂时保藏的黄瓜及小黄...,173600,千克,0,—,111639
07119031,盐水竹笋,10440,千克,0,—,53348
07119039,盐水的其他蔬菜及什锦...,30240,千克,0,—,58968
07119090,未列名暂时保藏的蔬菜...,25000,千克,0,—,12718
07122000,干洋葱,240972,千克,0,—,406260
07123200,干木耳,300,千克,0,—,1350
07123910,干香菇,3012,千克,0,—,56742
07129010,笋干丝,8700,千克,0,—,166605
07129050,干大蒜,242,千克,0,—,5292
07129099,未列名干蔬菜及什锦蔬...,30905,千克,0,—,591546
07131010,种用豌豆,30706,千克,0,—,36960
07131090,其他干豌豆,207554608,千克,0,—,61844574
07132090,其他干鹰嘴豆,431755,千克,0,—,421141
07133190,其他干绿豆,15650252,千克,0,—,12963925
07133290,其他红小豆（赤豆），...,342000,千克,0,—,234240
07133310,种用芸豆,4162,千克,0,—,7555
07133390,其他干芸豆,417325,千克,0,—,360369
07134090,其他干扁豆,1849498,千克,0,—,1198365
07139010,种用其他脱荚干豆,22300,千克,0,—,40264
07139090,其他脱荚干豆，种用除...,2156700,千克,0,—,2716394
07141020,木薯干,319207600,千克,0,—,83317201
07144000,芋头(芋属),200270,千克,0,—,240458
07149090,鲜、冷、冻或干的竹芋...,3000,千克,0,—,22494
08011100,椰子干,621205,千克,0,—,1304616
08011200,未去内壳（内果皮）的...,27958209,千克,0,—,14243159
08011990,其他椰子,180916,千克,0,—,245375
08012100,未去壳巴西果,104000,千克,0,—,218400
08012200,去壳巴西果,1004,千克,0,—,22305
08013100,未去壳腰果,420828,千克,0,—,1024476
08013200,去壳腰果,262903,千克,0,—,2497458
08021100,未去壳扁桃核,436365,千克,0,—,1624113
08021200,扁桃仁,974241,千克,0,—,6926198
08022200,榛子仁,213779,千克,0,—,2189145
08023100,未去壳核桃,19947,千克,0,—,66980
08023200,核桃仁,402869,千克,0,—,3202552
08024110,未去壳板栗,23870,千克,0,—,47883
08024290,其他去壳栗子,11000,千克,0,—,22724
08025100,未去壳阿月浑子果(开...,1714632,千克,0,—,9489775
08025200,去壳阿月浑子果(开心...,10416,千克,0,—,234442
08026190,其他未去壳马卡达姆坚...,1194650,千克,0,—,5545357
